question,correct,option1,option2,option3,option4
「運送業」の意味を持つ英単語は？,expressage,expressive,expressage,expression,express
「表示」の意味を持つ英単語は？,representation,representative,representable,represent,representation
「同一の」の意味を持つ英単語は？,identical,identical,identification,identity,identify
#マス14の問題
「解決」の意味を持つ英単語は？,solution,solution,solvable,solvation,solve
「証明」の意味を持つ英単語は？,proof,prover,provable,prove,proof
「親交」の意味を持つ英単語は？,communion,communicator,communication,communicate,communion
#マス15の問題
「それぞれの」の意味を持つ英単語は？,respective,respectful,respective,respect,respectable
「好み」の意味を持つ英単語は？,preference,preferable,prefer,preference,preferation
「を設立する」の意味を持つ英単語は？,establish,established,disestablish,establishment,establish
#マス16の問題
「を設立する」の意味を持つ英単語は？,foundation,founder,found,foundation,unfound
「を出版する」の意味を持つ英単語は？,publication,publishment,publisher,publication,publish
「役に立つ」の意味を持つ英単語は？,serve,service,deserve,serve,servant
#マス17の問題
「申込」の意味を持つ英単語は？,application,applicant,application,applied,apply
「取り扱い」の意味を持つ英単語は？,treatment,mistreat,treat,treatable,treatment
「準備する」の意味を持つ英単語は？,prepare,unprepare,preparation,prepare,preparer
#マス18の問題
「保護」の意味を持つ英単語は？,protection,protect,protection,protectant,protector
「選択可能な」の意味を持つ英単語は？,pickable,picky,pickpocket,pick,pickable
「ぴったり合う」の意味を持つ英単語は？,fit,fitly,fitness,fit,fitful
#マス19の問題
「入口」の意味を持つ英単語は？,entrance,entry,entrance,enter,entrant
「拡散する」の意味を持つ英単語は？,disspread,spereadable,disspread,wildspread,spread
「傾向」の意味を持つ英単語は？,tendency,tend,tender,tendency,distend
#マス20の問題
「依存する」の意味を持つ英単語は？,depend,dependent,depend,dependable,dependence
「存在している」の意味を持つ英単語は？,existent,existent,preexist,exist,existence
「俳優」の意味を持つ英単語は？,actor,action,actor,act,active
#マス21の問題
「指摘」の意味を持つ英単語は？,indication,indicate,indicator,indication,indicative
「扱いやすい」の意味を持つ英単語は？,manageable,manager,manageable,manage,management
「魅力的な」の意味を持つ英単語は？,attractive,attractant,attract,attraction,attractive
#マス22の問題
「継承」の意味を持つ英単語は？,succession,successful,succession,succeed,success
「出席者」の意味を持つ英単語は？,attendance,attendant,attend,attendance,attention
「追求する」の意味を持つ英単語は？,satisfice,satisfactory,satisfice,satisfy,satisfaction
#マス23の問題
「生存可能な」の意味を持つ英単語は？,survivable,survivor,survive,survivable,survival
「を分離する」の意味を持つ英単語は？,separate,separate,separation,separately,separative
「緊急の」の意味を持つ英単語は？,emergency,emerge,emergence,emerging,emergency
#マス24の問題
「委任による」の意味を持つ英単語は？,commissive,commitment,commit,commissive,commission
「疑いなく」の意味を持つ英単語は？,doubtless,doubtful,doubt,doubtable,doubtless
「無知」の意味を持つ英単語は？,ingnorance,ignore,ignorant,ingnorance,ignorable
#マス25の問題
「発明」の意味を持つ英単語は？,invention,inventor,invention,invent,inventive
「混同した」の意味を持つ英単語は？,confused,confusion,confuse,confused,confusion
「成し遂げる」の意味を持つ英単語は？,achieve,achievement,achieve,achiever,achievable
